"No.","Time","Delta","Source","Destination","Protocol","Length","Src Port","Dst Port","Info"
"1","0.000000","0.000000","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"2","0.000107","0.000107","192.168.21.67","236.10.10.10","PSN","109","59993","56565","59993  >  56565 Len=77"
"3","0.033075","0.032968","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"4","0.064492","0.031417","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"5","0.093717","0.029225","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"6","0.122585","0.028868","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"7","0.156742","0.034157","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"8","0.190195","0.033453","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"9","0.220089","0.029894","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"10","0.263821","0.043732","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"11","0.306713","0.042892","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12","0.338478","0.031765","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"13","0.370151","0.031673","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"14","0.414003","0.043852","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"15","0.446910","0.032907","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"16","0.478447","0.031537","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"17","0.512253","0.033806","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"18","0.571122","0.058869","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"19","0.610995","0.039873","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"20","0.644739","0.033744","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"21","0.677009","0.032270","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"22","0.706587","0.029578","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"23","0.736350","0.029763","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"24","0.775460","0.039110","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"25","0.819398","0.043938","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"26","0.849451","0.030053","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"27","0.880252","0.030801","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"28","0.916504","0.036252","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"29","0.950030","0.033526","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"30","0.980657","0.030627","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"31","1.012969","0.032312","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"32","1.042563","0.029594","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"33","1.071951","0.029388","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"34","1.103312","0.031361","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"35","1.137451","0.034139","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"36","1.170575","0.033124","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"37","1.208298","0.037723","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"38","1.240068","0.031770","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"39","1.268221","0.028153","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
