"No.","Time","Delta TIme","Source","Destination","Protocol","Length","S. Port","D. Port","Info"
"1","0.000000","0.000000","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"2","0.000939","0.000939","172.32.249.105","236.10.10.10","PSN","124","64421","56565","64421  >  56565 Len=82"
"3","0.020212","0.019273","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"4","0.039670","0.019458","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"5","0.058651","0.018981","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"6","0.078475","0.019824","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"7","0.097276","0.018801","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"8","0.116860","0.019584","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"9","0.135937","0.019077","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"10","0.155105","0.019168","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"11","0.174752","0.019647","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"12","0.195184","0.020432","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"13","0.214609","0.019425","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"14","0.234343","0.019734","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"15","0.253924","0.019581","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"16","0.273327","0.019403","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"17","0.292619","0.019292","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"18","0.312306","0.019687","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"19","0.331640","0.019334","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"20","0.351069","0.019429","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"21","0.370435","0.019366","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"22","0.388844","0.018409","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"23","0.407677","0.018833","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"24","0.427501","0.019824","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"25","0.448136","0.020635","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"26","0.468058","0.019922","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"27","0.488094","0.020036","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"28","0.508151","0.020057","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"29","0.528657","0.020506","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"30","0.548465","0.019808","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"31","0.567716","0.019251","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"32","0.587884","0.020168","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"33","0.608432","0.020548","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"34","0.629003","0.020571","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"35","0.649667","0.020664","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"36","0.671982","0.022315","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"37","0.693883","0.021901","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"38","0.715747","0.021864","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"39","0.738407","0.022660","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"40","0.761107","0.022700","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"41","0.783123","0.022016","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
